media-source,campaign,impressions,clicks,installs appsflyer,installs-ua appsflyer,installs-reattr appsflyer,installs-retarget appsflyer,installs-cost,ecpi appsflyer,revenue activity days cumulative appsflyer,revenue ltv days cumulative appsflyer,roas 1 days cumulative appsflyer,roas 7 days cumulative appsflyer,roas ltv days cumulative appsflyer,retention-rate 1 days on-period appsflyer,retention-rate 3 days on-period appsflyer,unique-users ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,ecpa ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,revenue ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER
Twitter,Mother24 - Bestsellers - Acquisition,,,50,44,,6,,,,245.28000000000003,,,,,,,,
Facebook Ads,FDay24 - Catalogue - Retention,,,49,29,,20,,,,478.30032492,,,,,,,,
Facebook Ads,Christmas24 - Hero - Acquisition,,,49,30,,19,,,,320.1591987,,,,,,,,
googleadwords_int,SER|ACQ|Get Well Soon - BR,1887,146,49,,,49,218.061238,4.450229346938776,,81.38000015,,,0.37319791860486456,,,,,
Facebook Ads,Fday24 - Trialists - Retention,,,48,32,,16,,,,273.05712872,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - EX Corvidae Test - Generic Acq EX,,,48,,,48,,,,183.23603363,,,,,,,,
Facebook Ads,Mothers24 - Dynamic - Retention,,,48,33,,15,,,,380.25367733,,,,,,,,
Facebook Ads,FDay24 - Dynamic - Retention,,,47,30,,17,,,,351.49987211,,,,,,,,
website-thortful,web-PLP-download-BANNER-mday-faceswap,,189,47,47,,,,,,324.93915339,,,,,,,,
googleadwords_int,SER|ACQ|Sorry - MM,,,44,,,44,,,,180.17822207,,,,,,,,
google_organic_seo,flower-and-plants,,45,44,,,44,,,,170.57793550999997,,,,,,,,
Facebook Ads,Mothers24 - retargeting - Retention,,,44,28,,16,,,,321.2780183,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - BR Corvidae Test - Generic Acq Broad,,,43,,,43,,,,76.38726991,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - EX SER|ACQ|Generic Cards - EX - Corvidae Test,,,42,,,42,,,,178.11269829,,,,,,,,
Facebook Ads,Fday24 - Retargeting - Retention,,,41,25,,16,,,,264.61362739000003,,,,,,,,
Facebook Ads,Spring24 - Retargeting - Retention,224128,6978,41,22,,19,850.443188,20.742516780487804,,378.01226282000005,,,0.44448855391384484,,,,,
Facebook Ads,Mothers24 - retargeting - Acquisition,,,41,31,,10,,,,281.24821162999996,,,,,,,,
Facebook Ads,Retention_FD25_FSIOS,,,40,38,,2,,,,52.90944238,,,,,,,,
googleadwords_int,SER|RET|Gifts - BR,,,40,,,40,102.899631,2.572490775,,31.475162679999997,,,0.30588217250263994,,,,,
website-thortful,web-PDP-download-MODAL-fday30-paid-2024,,100,40,40,,,,,,225.08797448999997,,,,,,,,
Facebook Ads,Summer24 - BAU - Acquisition,,,39,20,,19,,,,287.53558876,,,,,,,,
Facebook Ads,Acquisition_FD25_T1,,,38,27,,11,,,,194.65930609999998,,,,,,,,
googleadwords_int,SER|RET|Brand - Pure Brand - BR,,,38,,,38,,,,70.44781574000001,,,,,,,,
Facebook Ads,Christmas24 - Interests - Acquisition,,,38,27,,11,,,,280.74235818,,,,,,,,
Facebook Ads,Autumn24 - BAU - Acquisition,,,38,27,,11,,,,172.11379107999997,,,,,,,,
googleadwords_int,SHP|RET|Congratulations - Generics,21319,353,37,,,37,251.29,6.791621621621621,,62.97526404999999,,,0.25060791933622506,,,,,
googleadwords_int,SER|RET|Good Luck - BR,,,37,,,37,,,,142.60285109,,,,,,,,
googleadwords_int,SER|ACQ|Sympathy - BR,,,36,,,36,47.788499,1.3274583055555556,,129.16708672,,,2.7028906415328087,,,,,
googleadwords_int,SER|ACQ|Christmas - EX Corvidae Test - Christmas Acquisition,,,36,,,36,,,,108.76215058999998,,,,,,,,
Facebook Ads,Jan25 - Apptest - Retention,,,35,18,,17,,,,193.85592219999998,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - BR Promo Code Test - March 25,,,34,,,34,,,,162.65818609999997,,,,,,,,
googleadwords_int,SER|ACQ|Creators - EX,,,34,,,34,76.14118500000001,2.239446617647059,,106.27125944999999,,,1.3957132325954735,,,,,
Twitter,Valentines24 - Trending - Acquisition,,,33,30,,3,,,,224.03000000000003,,,,,,,,
tiktokglobal_int,Valentines25 - Demographics - Acquisition,,,32,32,,,,,,148.49607647,,,,,,,,
Facebook Ads,Mday25 - targeted - Acquisition,,,31,23,,8,,,,253.34935672000003,,,,,,,,
Facebook Ads,Q225 - Birthday - Acquisition,,,31,19,,12,,,,124.95593348,,,,,,,,
googleadwords_int,fathers-day-gifts,,,31,,,31,,,,79.24497836,,,,,,,,
bloomreach,BAU_F_210525_Faceswap,,415,30,30,,,,,,261.90101021,,,,,,,,
googleadwords_int,22154270364,,,30,,,30,,,,61.81126556000001,,,,,,,,
Facebook Ads,Spring24 - Birthday - Retention,325587,4295,30,22,,8,1001.312619,33.3770873,,283.8854413,,,0.28351329636044464,,,,,
googleadwords_int,SER|RET|INT|Send Abroad - BR,,,30,1,,29,,,,91.75681874,,,,,,,,
googleadwords_int,SER|ACQ|Thank You - MM,,,30,,,30,,,,68.97575499999999,,,,,,,,
Facebook Ads,Newyear24A - Dynamic - Acquisition,,,30,20,,10,,,,150.22182045,,,,,,,,
Facebook Ads,Spring24 - Interests - Retention,,,29,24,,5,,,,254.85582164000002,,,,,,,,
Facebook Ads,Christmas24 - UGC - Retention,,,29,18,,11,,,,400.77958037999997,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - EX Corvidae Final Test,,,29,,,29,,,,53.46125741,,,,,,,,
Facebook Ads,Valentines24 - T1 - Acquisition,,,28,23,,5,,,,176.2232386,,,,,,,,
googleadwords_int,DMG|ACQ|Test- Birthday 24,280787,8853,28,,,28,820.9182249999998,29.318508035714277,,59.33,,,0.07227272850471801,,,,,
Facebook Ads,Spring24A - Catalogue - Acquisition,126532,3632,27,16,,11,299.947882,11.109180814814815,,142.67534321999997,,,0.47566711346206464,,,,,
googleadwords_int,SER|ACQ|Birthday - MM Corvidae LSTM Final Pilot Test,,,26,,,26,,,,34.92227611,,,,,,,,
googleadwords_int,SER|RET|Just Because - BR,,,26,,,26,,,,76.16314195000001,,,,,,,,
Facebook Ads,Vday25 - Advantage+ - Retention Campaign,,,25,19,1,5,,,,200.08103392,,,,,,,,
Facebook Ads,Mothers24 - Last Chance - Acquisition,,,25,19,,6,,,,244.87431597,,,,,,,,
googleadwords_int,SER|ACQ|Get Well Soon - MM,,,25,,,25,,,,39.35674429,,,,,,,,
Facebook Ads,Jan25 - rebrand - Retention,,,25,20,,5,,,,265.30179619999996,,,,,,,,
Facebook Ads,Mday25 - discounttest - Retention,,,24,13,,11,,,,161.74179608999998,,,,,,,,
googleadwords_int,SER|ACQ|Animals - MM,,,23,,,23,,,,38.328695720000006,,,,,,,,
Facebook Ads,Retention_Summer25_Birthday,,,23,21,,2,,,,170.04510807000003,,,,,,,,
Facebook Ads,Vday25 - T0 - Retention,,,23,12,,11,,,,153.49387442,,,,,,,,
googleadwords_int,SHP|ACQ|Valentine's Day 25 - Gifts,,,23,,,23,,,,81.97836545,,,,,,,,
Facebook Ads,Retention_FD25_Promo,,,22,12,,10,,,,134.57989088000002,,,,,,,,
Facebook Ads,Fday24 - Previous Buyers - Retention,,,22,19,,3,,,,236.14444744,,,,,,,,
googleadwords_int,SHP|ACQ|Christmas 24 - Gifts,,,22,,,22,,,,43.686722360000005,,,,,,,,
googleadwords_int,DMG|RET|Christmas 24,,,22,,,22,,,,114.44000000000001,,,,,,,,
googleadwords_int,SER|RET|Animals - BR,,,22,,,22,,,,73.07271143000001,,,,,,,,
tiktokglobal_int,FD25 - Retention - Tiktok,,,21,21,,,,,,101.52068842999999,,,,,,,,
Facebook Ads,Valentines24 - Gifting - Retention – reach,,,21,19,1,1,,,,275.4433626,,,,,,,,
Facebook Ads,Spring24 - Demographics - Retention,,,20,17,,3,,,,94.50865256,,,,,,,,
Facebook Ads,Valentines24 - T1 - Retention,,,20,18,1,1,,,,296.27506910000005,,,,,,,,
google_organic_seo,christmas-card-packs,,20,20,,,20,,,,75.21220757,,,,,,,,
googleadwords_int,SHP|RET|Taylor Swift - Generics,4767,49,20,,,20,33.36,1.668,,43.1806615,,,1.294384337529976,,,,,
Facebook Ads,Christmas24 - Styles - Acquisition,,,20,12,,8,,,,174.8437204,,,,,,,,
Facebook Ads,Q225 - Spring Discount Campaign - Retention,,,20,11,,9,,,,146.34043388,,,,,,,,
google_organic_seo,confectionery,,20,20,,,20,,,,90.29961483,,,,,,,,
googleadwords_int,SER|RET|Engagements & Weddings - BR,91,15,20,,,20,14.200000000000003,0.7100000000000002,,41.62,,,2.930985915492957,,,,,
googleadwords_int,SER|ACQ|Generic Cards - EX Corvidae LSTM,,,19,,,19,,,,68.6030141,,,,,,,,
tiktokglobal_int,Valentines25 - Hero - Retention,,,19,19,,,,,,217.27591045,,,,,,,,
googleadwords_int,SHP|RET|Engagement - Generics,,,19,,,19,,,,80.45174597,,,,,,,,
googleadwords_int,SER|RET|TV Shows - MM,,,19,,,19,,,,56.20189590999999,,,,,,,,
googleadwords_int,SER|RET|Interests - BR,,,19,,,19,,,,58.00188776,,,,,,,,
googleadwords_int,Valentines Day,,,18,,,18,,,,35.89149408,,,,,,,,
Facebook Ads,Valentines - staticretargeting - retention,,,18,10,,8,,,,206.25763824,,,,,,,,
googleadwords_int,SER|RET|INT|Send to UK - BR,,,18,,,18,,,,99.6032376,,,,,,,,
googleadwords_int,SER|RET|Father's Day - BR,,,18,,,18,,,,52.10090673,,,,,,,,
Facebook Ads,Fday24 - week 1 - Acquisition,,,18,11,,7,,,,185.56816745,,,,,,,,
googleadwords_int,SER|ACQ|Faith - BR,,,18,,,18,,,,38.983676450000004,,,,,,,,
googleadwords_int,DMG|RET|Test- Birthday 24,34785,416,18,1,,17,142.880169,7.937787166666666,,46.55999999999999,,,0.3258674757026637,,,,,
googleadwords_int,SER|ACQ|TV Shows - EX,1677,364,18,,,18,323.68786500000004,17.982659166666668,,32.2,,,0.09947855165963666,,,,,
Facebook Ads,Fday24 - Retargeting - Acquisition,,,17,12,,5,,,,109.42132589,,,,,,,,
Facebook Ads,Valentines24 - Dynamic - Acquisition – lookalike,,,17,12,1,4,,,,114.45927669,,,,,,,,
Facebook Ads,Q225 - Anniversary - Acquisition,,,17,11,,6,,,,65.81506947,,,,,,,,
Facebook Ads,Spring24A - Demographics - Acquisition,102588,985,17,11,,6,389.9266859999999,22.936863882352934,,29.44620219,,,0.07551727862503878,,,,,
googleadwords_int,SER|ACQ|Faith - MM,,,17,,,17,,,,60.34763146,,,,,,,,
emarsys,None,,3834,16,16,,,,,,170.97634225000002,,,,,,,,
Facebook Ads,Retention_Summer25_Cardpacks,,,16,9,,7,,,,72.6793691,,,,,,,,
googleadwords_int,SER|ACQ|INT|Send Abroad - MM,,,16,,,16,,,,46.17086531,,,,,,,,
test,test-kirill,,30,16,,4,12,,,,2.9511825,,,,,,,,
bloomreach,BAU_G_120525_ThisisThat,,5839,16,16,,,,,,88.90045396,,,,,,,,
googleadwords_int,SER|ACQ|Trends - EX,,,15,,,15,,,,11.67,,,,,,,,
googleadwords_int,SHP|ACQ|Father's Day 25 - Gifts,,,15,,,15,,,,19.84364295,,,,,,,,
bloomreach,BAU_G_090425_Photocards,,96,15,15,,,,,,67.22999999999999,,,,,,,,
googleadwords_int,APP|ACQ|Downloads - iOS,,,15,15,,,,,,0.0,,,,,,,,
googleadwords_int,SER|RET|Valentine's - EX,,,14,,,14,,,,19.19943308,,,,,,,,
Facebook Ads,FDay24 - WkT-2 - Acquisition,,,14,8,,6,,,,117.63971839999999,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday30-paid-2024,,36,14,14,,,,,,90.5424455,,,,,,,,
googleadwords_int,SER|RET|INT|Send Abroad - EX,,,13,,,13,,,,21.67858277,,,,,,,,
googleadwords_int,Performance Max|ACQ|Gifts,,,13,1,,12,,,,9.0484899,,,,,,,,
Facebook Ads,Acquisition_Summer25_Birthday,,,13,10,,3,,,,42.746484200000005,,,,,,,,
googleadwords_int,SER|RET|Leaving - MM,,,13,,,13,,,,22.771950260000004,,,,,,,,
googleadwords_int,DMG|ACQ|Valentine's Day 24,,,13,,,13,,,,82.15,,,,,,,,
googleadwords_int,SHP|RET|Mother's Day 25,,,13,,,13,,,,25.80456854,,,,,,,,
Twitter,Fday24 - Bestsellers - Acquisition,,,13,10,,3,,,,49.41,,,,,,,,
google_organic_seo,alcohol,,12,12,,,12,,,,82.68646985,,,,,,,,
googleadwords_int,SER|RET|Interests - MM,,,12,,,12,,,,33.415684299999995,,,,,,,,
Facebook Ads,Spring24 - Birthday - Acquisition,48522,546,12,10,,2,163.24146600000003,13.603455500000003,,91.92080179999999,,,0.5630971348909595,,,,,
Facebook Ads,Q1FY25 - BAU - Acquisition,,,12,5,,7,,,,20.79749656,,,,,,,,
googleadwords_int,letterbox,,,12,,,12,,,,67.44308871000001,,,,,,,,
googleadwords_int,SER|RET|Leaving - BR,,,12,,,12,,,,27.878067,,,,,,,,
Facebook Ads,Valentines - staticretargeting - acquisition,,,12,8,,4,,,,57.886702160000006,,,,,,,,
googleadwords_int,21261282891,,,12,,,12,,,,46.1147068,,,,,,,,
googleadwords_int,DMG|ACQ|Christmas 24,,,12,,,12,,,,56.09,,,,,,,,
googleadwords_int,SER|ACQ|Sorry - BR,,,12,,,12,,,,19.31461968,,,,,,,,
Facebook Ads,Fday24 - WkT-3 - Retention,,,11,6,,5,,,,74.3428924,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - Core - EX,,,11,,,11,,,,47.40321349,,,,,,,,
googleadwords_int,22277443825,,,11,,,11,,,,81.90935876,,,,,,,,
googleadwords_int,22489010622,,,11,,,11,,,,33.071332649999995,,,,,,,,
Facebook Ads,Jan25 - rebrand - Acquisition,,,11,6,,5,,,,79.67050296,,,,,,,,
googleadwords_int,DMG|RET|Test- Father's Day 24,,,11,,,11,,,,26.38,,,,,,,,
Facebook Ads,Vday25 - T0 - Acquisition,,,10,7,,3,,,,42.403074000000004,,,,,,,,
Facebook Ads,Autumn24 - BAUPremium - Acquisition,,,10,9,,1,,,,42.4362323,,,,,,,,
Facebook Ads,Retention_FD25_gifting,,,10,6,,4,,,,16.87,,,,,,,,
googleadwords_int,DMG|RET|Birthday 24,,,10,,1,9,,,,54.98,,,,,,,,
tiktokglobal_int,Valentines25 - Interests - Acquisition,,,10,10,,,,,,56.71237335999999,,,,,,,,
Facebook Ads,Summer24 - thank you teacher - Retention,,,10,4,,6,,,,77.06,,,,,,,,
googleadwords_int,SER|ACQ|Leaving - EX,,,10,,,10,,,,54.03999999999999,,,,,,,,
googleadwords_int,SER|ACQ|Just Because - MM,,,10,,1,9,,,,2.7873472000000006,,,,,,,,
bloomreach,beta_test,,146,10,10,,,,,,25.678436599999998,,,,,,,,
googleadwords_int,SER|ACQ|Gifts - MM,,,9,,,9,35.86000099999999,3.9844445555555543,,35.5334931,,,0.9908949277497234,,,,,
Facebook Ads,Q225 - Easter - Retention,,,9,6,,3,,,,157.51999999999998,,,,,,,,
googleadwords_int,SHP|ACQ|Father's Day 24|Gifts,,,9,,,9,,,,28.594695299999998,,,,,,,,
Facebook Ads,NewYear24A - Catalogue - Acquisition,,,9,4,,5,,,,42.8759004,,,,,,,,
googleadwords_int,SER|ACQ|Faceswap,,,9,,,9,,,,21.1158041,,,,,,,,
Facebook Ads,Fday24 - Gifting - Retention,,,9,7,,2,,,,65.5087826,,,,,,,,
googleadwords_int,SHP|ACQ|Mother's Day 25 #2,,,8,,,8,,,,24.09419891,,,,,,,,
googleadwords_int,SER|RET|Mother's Day - BR,,,8,,,8,,,,55.67896692,,,,,,,,
Facebook Ads,Christmas24 - UGC - Acquisition,,,8,7,,1,,,,36.02234812,,,,,,,,
googleadwords_int,SER|RET|Birthday - MM Corvidae Conversion Goal Test,,,8,,,8,,,,33.062781099999995,,,,,,,,
bloomreach,BAU_G_020625_ThePerfectCard,,591,8,8,,,,,,71.49387261999999,,,,,,,,
Facebook Ads,Fday24 - kidstest - Acquisition,,,8,3,,5,,,,54.7157578,,,,,,,,
googleadwords_int,SER|RET|Thank You - MM,,,8,,,8,,,,0.0,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - BR Corvidae BROAD (NCD),,,8,,,8,,,,3.6424248,,,,,,,,
googleadwords_int,SHP|ACQ|Mother's Day 25 - Gifts,,,7,,,7,,,,15.245413840000001,,,,,,,,
googleadwords_int,SER|ACQ|Animals - EX,,,7,,,7,,,,35.08,,,,,,,,
googleadwords_int,DSC|RET|Remarketing- Birthday 23 (Product Feed),,,7,,,7,,,,0.0,,,,,,,,
googleadwords_int,21403223475,,,7,,,7,,,,11.0936309,,,,,,,,
Facebook Ads,Vday25 - retargeting - Acquisition,,,7,5,,2,,,,45.76401344000001,,,,,,,,
Facebook Ads,Spring24A - Interests - Acquisition,79841,510,7,4,,3,214.39373399999997,30.62767628571428,,127.98,,,0.5969390877813622,,,,,
auto_apply_test,None,,56,7,7,,,,,,3.71380422,,,,,,,,
Facebook Ads,Spring24A - A+ - Acquisition Campaign,,,7,4,,3,,,,17.088806599999998,,,,,,,,
Facebook Ads,Acquisition_FD25_FSIOS,,,7,7,,,,,,0.0,,,,,,,,
Facebook Ads,Retention_FD25_catalogue,,,7,5,,2,,,,23.317349999999998,,,,,,,,
tiktokglobal_int,Valentines25 - FS IOS - Acquisition,,,7,7,,,,,,2.8347840000000004,,,,,,,,
google_organic_seo,fathers-day-gifts,,7,7,,,7,,,,27.50108145,,,,,,,,
googleadwords_int,SER|ACQ|Misc - MM,,,7,,,7,,,,4.05488655,,,,,,,,
googleadwords_int,21189369323,,,7,,,7,,,,10.479359760000001,,,,,,,,
Facebook Ads,Mothers24 - gifting - retention,,,7,5,,2,,,,62.1582861,,,,,,,,
google_organic_seo,experiences-40-and-under,,6,6,,,6,,,,69.85904788,,,,,,,,
googleadwords_int,SER|ACQ|Misc - BR,,,6,,,6,,,,8.1952674,,,,,,,,
googleadwords_int,22644962598,,,6,,,6,,,,13.07530002,,,,,,,,
Facebook Ads,FY24 - WeekendWinners - Retention,,,6,4,,2,,,,60.76000000000001,,,,,,,,
Facebook Ads,Fday24 - last chance - Acquisition,,,6,4,,2,,,,51.04918606,,,,,,,,
googleadwords_int,DMG|ACQ|Test- Father's Day 24,,,6,,,6,,,,12.47,,,,,,,,
Facebook Ads,Q225 - Spring Discount Campaign - Acquisition,,,6,5,,1,,,,14.47,,,,,,,,
googleadwords_int,mothers-day-gifts,,,6,,,6,,,,7.495537379999999,,,,,,,,
googleadwords_int,21351230139,,,6,,,6,,,,20.44483695,,,,,,,,
Facebook Ads,Vday25 - FS IOS - Acquisition,,,6,2,,4,,,,9.06076716,,,,,,,,
googleadwords_int,SER|ACQ|Just Because - EX,,,6,,,6,,,,5.14,,,,,,,,
googleadwords_int,SHP|ACQ|Valentine's Day - Gifts,,,6,,1,5,,,,3.52,,,,,,,,
Facebook Ads,Retention_Summer25_Anniversary,,,6,6,,,,,,19.75,,,,,,,,
Facebook Ads,RetentionRestructure - Risk of Churn - Retention,,,6,3,,3,,,,23.91650395,,,,,,,,
googleadwords_int,22176985599,,,6,,,6,,,,57.193573,,,,,,,,
Facebook Ads,Valentines25 - Apptestinstall - Acquisition,,,6,4,,2,,,,18.10388775,,,,,,,,
Facebook Ads,Vday25 - FS IOS - Retention,,,5,2,,3,,,,12.835839239999999,,,,,,,,
googleadwords_int,SER|RET|Get Well Soon - BR,,,5,,,5,,,,4.1399266500000005,,,,,,,,
emarsys,crm-header-birthday,,197,5,1,,4,,,,35.38205111,,,,,,,,
Facebook Ads,Retention_Summer25_ThankyouTeacher,,,5,5,,,,,,35.5641667,,,,,,,,
googleadwords_int,SER|RET|Trends - MM,21,7,5,,,5,5.359999999999999,1.0719999999999998,,17.439999999999998,,,3.253731343283582,,,,,
googleadwords_int,christmas,,,5,,,5,,,,0.0,,,,,,,,
google_organic_seo,nio-cocktails,,5,5,,,5,,,,41.094376,,,,,,,,
Facebook Ads,Mothers23 - App A+ Catalogue - Retention,,,5,4,,1,,,,7.52131116,,,,,,,,
tiktokglobal_int,Valentines25 - AppInstall - promotion,,,5,5,,,,,,18.51917847,,,,,,,,
googleadwords_int,SER|RET|Animals - EX,,,5,,,5,,,,9.75035095,,,,,,,,
None,None,241,240579,4,4,,,,,,16.70558687,,,,,,,,
googleadwords_int,SHP|ACQ|Birthday Card Packs,,,4,,,4,,,,0.0,,,,,,,,
googleadwords_int,SHP|RET|Mother's Day 24,,,4,,,4,,,,17.23,,,,,,,,
tiktokglobal_int,Valentines25 - Demographics - Retention,,,4,4,,,,,,35.92408715,,,,,,,,
googleadwords_int,SER|ACQ|Good Luck - MM,,,4,,,4,,,,5.9390592,,,,,,,,
google_organic_seo,our-papier-range,,4,4,,,4,,,,0.0,,,,,,,,
googleadwords_int,SER|RET|Get Well Soon - MM,,,4,,,4,,,,4.84,,,,,,,,
googleadwords_int,Valentines Day Flowers,,,4,,,4,,,,13.3793202,,,,,,,,
Facebook Ads,Fday24 - Copy test - Acquisition,,,4,2,,2,,,,59.0263212,,,,,,,,
google_organic_seo,our-biscuiteers-range,,4,4,,,4,,,,36.45604754,,,,,,,,
googleadwords_int,spring-birthday,,,4,,,4,,,,7.7980386,,,,,,,,
googleadwords_int,SER|RET|Sympathy - MM,,,4,,,4,,,,55.61,,,,,,,,
Facebook Ads,Acquisition_FD25_Templatetest,,,4,2,,2,,,,2.9267580800000004,,,,,,,,
googleadwords_int,SER|RET|Occasions|Photocards,,,4,,,4,,,,0.0,,,,,,,,
Facebook Ads,Fday24 - Prospecting - Acquisition,,,4,2,,2,,,,34.7547317,,,,,,,,
google_organic_seo,bestselling,,4,4,,,4,,,,24.215504840000005,,,,,,,,
Facebook Ads,Retention_Promotion_postage,,,3,2,,1,,,,11.074582020000001,,,,,,,,
googleadwords_int,Shoptimised | Incremental | Performance Max | Trending | ACQ,,,3,,,3,,,,15.4,,,,,,,,
googleadwords_int,SER|ACQ|Birthday|Photocards,,,3,,,3,,,,0.0,,,,,,,,
googleadwords_int,SER|ACQ|Occasions|Photocards,,,3,,,3,,,,10.87955,,,,,,,,
tiktokglobal_int,MD25 - Carousel - Retention,,,3,3,,,,,,4.7337758999999995,,,,,,,,
Facebook Ads,Acquisition_FD25_catalogue,,,3,1,,2,,,,3.4520382,,,,,,,,
website-thortful,web-BR-Banner-faceswap,,8,3,3,,,,,,12.99,,,,,,,,
Facebook Ads,Retention_Promotion_30,,,3,3,,,,,,15.49,,,,,,,,
googleadwords_int,SER|RET|Thank You - EX,,,3,,,3,,,,24.119999999999994,,,,,,,,
Facebook Ads,Mothers24 - Last Chance - Retention,,,3,1,,2,,,,9.604761,,,,,,,,
Facebook Ads,Summer24 - thank you teacher - Acquisition,,,3,1,,2,,,,15.81,,,,,,,,
google_organic_seo,for-her,,3,3,,,3,,,,0.0,,,,,,,,
google_organic_seo,under-15,,3,3,,,3,,,,0.0,,,,,,,,
google_organic_seo,mothers-day-gifts,,3,3,,,3,,,,7.222169279999999,,,,,,,,
google_organic_seo,mothers-day-all-flowers,,3,3,,,3,,,,9.771875,,,,,,,,
google_organic_seo,cute-christmas-card-packs,,3,3,,,3,,,,9.785327969999999,,,,,,,,
google_organic_seo,birthday-card-packs,,3,3,,,3,,,,17.6874325,,,,,,,,
google_organic_seo,send-a-smile,,3,3,,,3,,,,11.16609585,,,,,,,,
google_organic_seo,birthday,,3,3,,,3,,,,26.007659779999997,,,,,,,,
googleadwords_int,fathers-day-drinks,,,3,,,3,,,,0.0,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - EX Hub Page - Mother's Day (EX),,,3,,,3,,,,21.7568231,,,,,,,,
googleadwords_int,SER|RET|Just Because - EX,,,3,,,3,,,,16.8101884,,,,,,,,
Facebook Ads,Spring24 - CHTestPlain - Retention,,,3,1,,2,,,,47.3860442,,,,,,,,
google_organic_seo,fathers-day-under-20,,2,2,,,2,,,,19.8010484,,,,,,,,
google_organic_seo,home-and-pampering,,2,2,,,2,,,,0.0,,,,,,,,
google_organic_seo,for-him,,2,2,,,2,,,,0.0,,,,,,,,
google_organic_seo,under-10,,2,2,,,2,,,,0.0,,,,,,,,
google_organic_seo,our-experiences-range,,2,2,,,2,,,,0.0,,,,,,,,
emarsys,XMASTREAT_FULFILLMENTOFFER_FOLLOWUP_RESEND,11,2,2,2,,,,,,7.513721780000001,,,,,,,,
emarsys,crm-header-anniversary,,68,2,,,2,,,,3.7501529999999996,,,,,,,,
googleadwords_int,SER|RET|Misc - BR,,,2,,,2,,,,13.77,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - MM - Google Ads Tag Test,,,2,,,2,,,,0.0,,,,,,,,
googleadwords_int,22604465218,,,2,,,2,,,,0.0,,,,,,,,
googleadwords_int,SER|RET|Animals - MM,,,2,,,2,,,,0.0,,,,,,,,
Facebook Ads,Vday25 - Reach - Retention,,,2,2,,,,,,23.99,,,,,,,,
Facebook Ads,Acquisition_Summer25_Cardpacks,,,2,2,,,,,,22.69,,,,,,,,
googleadwords_int,SER|RET|Sorry - BR,,,2,1,,1,,,,0.0,,,,,,,,
googleadwords_int,SER|ACQ|Good Luck - EX,,,2,,,2,,,,12.18,,,,,,,,
googleadwords_int,22190899329,,,2,,,2,,,,4.312451200000001,,,,,,,,
Twitter,Fday24 - Bestsellers - Retention,,,2,2,,,,,,33.03,,,,,,,,
googleadwords_int,SHP|ACQ|All Products - Generics - BACKUP,,,2,,,2,,,,8.33,,,,,,,,
googleadwords_int,22715090108,,,2,,,2,,,,10.95130756,,,,,,,,
googleadwords_int,SER|ACQ|Congratulations - EX Corvidae Conversion Goal Test - Congratulations,,,2,,,2,,,,11.3580382,,,,,,,,
Facebook Ads,q225 - Consideration Test Awareness - Retention,,,2,1,,1,,,,14.0791437,,,,,,,,
Facebook Ads,Spring24A - Interests -volume test (B) - Acquisition,,,2,1,,1,,,,20.7344355,,,,,,,,
Facebook Ads,Jan25 - Apptest - Acquisition,,,2,1,,1,,,,3.7243888,,,,,,,,
Facebook Ads,Acquisition_Summer25_Birthdaystatics,,,2,1,,1,,,,9.36,,,,,,,,
Facebook Ads,Fday24 - last chance - retention,,,2,1,,1,,,,7.638884880000001,,,,,,,,
impact,RetailMeNot UK Ltd.,4,3,2,2,,,,,,6.1174912,,,,,,,,
googleadwords_int,SER|ACQ|Birthday - EX Birthday Hub page,,,2,,,2,,,,31.69,,,,,,,,
Facebook Ads,Valentines24 - Lastchance - Acquisition,,,2,2,,,,,,47.7,,,,,,,,
googleadwords_int,SER|RET|Sympathy - BR,,,2,,,2,,,,0.0,,,,,,,,
Facebook Ads,Valentines25 - FS android - Acquisition,,,1,1,,,,,,0.0,,,,,,,,
googleadwords_int,home-and-pampering,,,1,,,1,,,,0.0,,,,,,,,
Facebook Ads,NewYear24 - Catalogue - Acquisition,,,1,1,,,,,,0.0,,,,,,,,
googleadwords_int,DMG|RET|Test- Birthday 23,,,1,,,1,,,,0.0,,,,,,,,
googleadwords_int,DSC|RET|Test- Birthday 23,,,1,,,1,,,,0.0,,,,,,,,
emarsys,20240130_1200_AUTOMATION_G_JAN24_PREPOTENTIALCARDIES_4FOR10,1,1,1,1,,,,,,3.34,,,,,,,,
Social_Influencers,pr-general-face-swap-2025-01-27,,2,1,1,,,,,,0.0,,,,,,,,
yahoo_organic_seo,flower-and-plants,,1,1,,,1,,,,5.24233891,,,,,,,,
yahoo_organic_seo,under-15,,1,1,,,1,,,,0.0,,,,,,,,
